risk_id,category,risk,likelihood,impact,owner,mitigation,evidence,status
R-001,privacy,Unapproved identifiable data enters the pilot,medium,critical,<owner>,Use synthetic data first; require clinic review and automated preflight before transfer,<approval and preflight evidence>,open
R-002,identity,Patient or encounter identifiers do not link reliably across sources,medium,high,<owner>,Document identifier scope; quantify unmatched and conflicting links,<linkage report>,open
R-003,semantics,Local codes are mapped incorrectly or remain ambiguous,medium,high,<owner>,Preserve source codes; require terminology verification status and clinical review,<mapping review>,open
R-004,units,Measurements use missing or incompatible units,medium,high,<owner>,Inventory units; normalize only through reviewed mappings; quarantine ambiguity,<unit report>,open
R-005,quality,Missingness or attrition makes the use case unreliable,medium,high,<owner>,Predefine denominators and acceptance criteria; report every exclusion,<quality report>,open
R-006,drift,Source schema changes without notification,medium,high,<owner>,Pin headers and contracts; fail closed; define source-system change owner,<schema fingerprint>,open
R-007,interpretation,Technical validation is misrepresented as clinical correctness,medium,critical,<owner>,Clinical review; explicit labels; no patient-specific decisions,<review record>,open
R-008,security,Pilot environment lacks approved access, secret, backup, or incident controls,medium,critical,<owner>,Clinic-controlled isolated environment and security checklist,<security approval>,open
R-009,scope,Pilot expands into production operation without a new approval,medium,high,<owner>,Time-box scope; stop conditions; formal expansion gate,<signed scope>,open
R-010,reproducibility,Results cannot be regenerated from the recorded inputs and version,low,high,<owner>,Use release artifact checksums, manifests, run IDs, and versioned cohort parameters,<reproduction record>,open
